Date,Description,Amount,Type
03/12/2025,"IMPS-RENT PAYMENT TO OWNER",30000,expense
05/12/2025,"POS-BPCL PETROL PUMP",1411,expense
05/12/2025,"UPI-1MG ONLINE MEDS",2405,expense
06/12/2025,"POS-INDIGO AIRLINES",854,expense
07/12/2025,"UPI-AIRTEL POSTPAID",2245,expense
07/12/2025,"UPI-JIO FIBER BROADBAND",999,expense
07/12/2025,"UPI-BLINKIT GROCERIES",2915,expense
07/12/2025,"ATM WDL-1234 SBI-NEW DELHI",48,expense
10/12/2025,"UPI-COIN BY ZERODHA",40000,investment
10/12/2025,"UPI-SPOTIFY PREMIUM",483,expense
10/12/2025,"UPI-GUITAR CLASSES",565,expense
12/12/2025,"UPI-POTTERY WORKSHOP",2319,expense
14/12/2025,"UPI-BLINKIT GROCERIES",3158,expense
14/12/2025,"UPI-RAMESH KIRANA STORE",199,expense
15/12/2025,"NEFT-CARE HEALTH POLICY",3000,expense
15/12/2025,"UPI-SWIGGY TECHNOLOGIES",892,expense
18/12/2025,"UPI-BARBEQUE NATION",1461,expense
19/12/2025,"POS-ZARA APPARELS",2714,expense
20/12/2025,"UPI-BYJUS LEARNING APP",5000,expense
21/12/2025,"POS-RELIANCE FRESH",3469,expense
21/12/2025,"UPI-CHAI WALA STALL",110,expense
21/12/2025,"UPI-GOLF CLUB FEE",2338,expense
25/12/2025,"UPI-CAFE COFFEE DAY",1526,expense
25/12/2025,"POS-CROMA ELECTRONICS",3358,expense
25/12/2025,"UPI-NCMC METRO RECHARGE",1362,expense
27/12/2025,"UPI-AUTO RICKSHAW FARE",167,expense
27/12/2025,"AUTO DEBIT-RECURRING DEPOSIT SBI",4976,investment
28/12/2025,"POS-DMART RETAIL",2750,expense
30/12/2025,"UPI-CAFE COFFEE DAY",1118,expense
31/12/2025,"UPI-CHAI WALA STALL",211,expense
31/12/2025,"POS-DOMINOS PIZZA",1630,expense
31/12/2025,"UPI-NCMC METRO RECHARGE",1128,expense
01/01/2026,"NEFT CR-SALARY-EMPLOYER",150000,income
03/01/2026,"UPI-LANDLORD MONTHLY RENT",30000,expense
04/01/2026,"UPI-BLINKIT GROCERIES",3836,expense
04/01/2026,"UPI-STEAM GAMING",958,expense
05/01/2026,"POS-CROMA ELECTRONICS",2850,expense
07/01/2026,"UPI-JIO FIBER BROADBAND",2398,expense
07/01/2026,"UPI-JIO FIBER BROADBAND",999,expense
08/01/2026,"POS-IRCTC TICKET BOOKING",1260,expense
08/01/2026,"POS-APOLLO PHARMACY",2455,expense
09/01/2026,"UPI-FASTAG TOLL RECHARGE",1473,expense
09/01/2026,"UPI-NETFLIX SUBSCRIPTION",512,expense
10/01/2026,"AUTO DEBIT-NPS TIER 1",40000,investment
10/01/2026,"UPI-AUTO RICKSHAW FARE",64,expense
11/01/2026,"UPI-BIGBASKET",2077,expense
11/01/2026,"UPI-NETFLIX SUBSCRIPTION",1344,expense
12/01/2026,"UPI-FLIPKART INTERNET",3936,expense
14/01/2026,"POS-BPCL PETROL PUMP",1161,expense
15/01/2026,"AUTO DEBIT-LIC PREMIUM",3000,expense
15/01/2026,"UPI-CHAI WALA STALL",95,expense
18/01/2026,"POS-DMART RETAIL",3744,expense
18/01/2026,"POS-ZARA APPARELS",2964,expense
20/01/2026,"NEFT-SCHOOL FEES PAYMENT",5000,expense
20/01/2026,"ATM WDL-1234 SBI-NEW DELHI",222,expense
22/01/2026,"POS-ART SUPPLIES STATIONERY",1722,expense
23/01/2026,"UPI-AUTO RICKSHAW FARE",240,expense
24/01/2026,"UPI-AUTO RICKSHAW FARE",145,expense
24/01/2026,"UPI-OLA CABS",1383,expense
25/01/2026,"POS-RELIANCE FRESH",3182,expense
26/01/2026,"ATM WDL-1234 SBI-NEW DELHI",112,expense
26/01/2026,"UPI-BOOKMYSHOW TICKETS",1081,expense
27/01/2026,"UPI-OLA CABS",1040,expense
27/01/2026,"AUTO DEBIT-RECURRING DEPOSIT SBI",2853,investment
31/01/2026,"POS-MCDONALDS",934,expense
01/02/2026,"NEFT CR-SALARY-EMPLOYER",150000,income
01/02/2026,"POS-RELIANCE FRESH",3822,expense
02/02/2026,"UPI-AUTO RICKSHAW FARE",228,expense
02/02/2026,"UPI-OLA CABS",535,expense
03/02/2026,"IMPS-RENT PAYMENT TO OWNER",30000,expense
05/02/2026,"POS-ZARA APPARELS",3511,expense
06/02/2026,"UPI-BARBEQUE NATION",898,expense
06/02/2026,"POS-BPCL PETROL PUMP",615,expense
07/02/2026,"UPI-BESCOM ELECTRICITY BILL",3104,expense
07/02/2026,"UPI-JIO FIBER BROADBAND",999,expense
07/02/2026,"UPI-STREET FOOD VENDOR",246,expense
08/02/2026,"POS-DMART RETAIL",3053,expense
08/02/2026,"POS-ZARA APPARELS",3036,expense
08/02/2026,"UPI-NETFLIX SUBSCRIPTION",1500,expense
09/02/2026,"UPI-UBER RIDE",636,expense
10/02/2026,"NEFT-PPF ACCOUNT DEPOSIT",40000,investment
11/02/2026,"UPI-MYNTRA DESIGNS",3926,expense
12/02/2026,"UPI-BARBEQUE NATION",1750,expense
12/02/2026,"UPI-UBER RIDE",1338,expense
13/02/2026,"UPI-LOCAL DAIRY SHOP",27,expense
15/02/2026,"NEFT-CARE HEALTH POLICY",3000,expense
15/02/2026,"POS-DMART RETAIL",3902,expense
15/02/2026,"UPI-RAMESH KIRANA STORE",190,expense
17/02/2026,"UPI-RAMESH KIRANA STORE",232,expense
17/02/2026,"UPI-NCMC METRO RECHARGE",610,expense
18/02/2026,"UPI-NETFLIX SUBSCRIPTION",1108,expense
19/02/2026,"UPI-AUTO RICKSHAW FARE",65,expense
19/02/2026,"POS-PVR CINEMAS MULTIPLEX",388,expense
20/02/2026,"UPI-UDEMY ONLINE COURSE",5000,expense
21/02/2026,"UPI-STREET FOOD VENDOR",59,expense
22/02/2026,"POS-DMART RETAIL",3801,expense
24/02/2026,"UPI-SWIGGY TECHNOLOGIES",1880,expense
24/02/2026,"POS-BPCL PETROL PUMP",681,expense
26/02/2026,"UPI-OLA CABS",822,expense
26/02/2026,"UPI-BOOKMYSHOW TICKETS",414,expense
26/02/2026,"UPI-DR LAL PATHLABS",946,expense
27/02/2026,"UPI-CHAI WALA STALL",85,expense
27/02/2026,"UPI-MYNTRA DESIGNS",3012,expense
27/02/2026,"AUTO DEBIT-RECURRING DEPOSIT SBI",2690,investment
28/02/2026,"UPI-SWIGGY TECHNOLOGIES",1351,expense
28/02/2026,"DR-ANNUAL DEBIT CARD FEE",226,expense
01/03/2026,"NEFT CR-SALARY-EMPLOYER",150000,income
01/03/2026,"POS-RELIANCE FRESH",2656,expense
02/03/2026,"UPI-MYNTRA DESIGNS",2767,expense
02/03/2026,"UPI-STEAM GAMING",534,expense
03/03/2026,"NEFT-SOCIETY MAINTENANCE",30000,expense
04/03/2026,"UPI-LOCAL DAIRY SHOP",26,expense
05/03/2026,"UPI-ZOMATO FOOD",1471,expense
05/03/2026,"POS-IOCL FUEL STATION",1492,expense
07/03/2026,"UPI-BESCOM ELECTRICITY BILL",2422,expense
07/03/2026,"UPI-JIO FIBER BROADBAND",999,expense
08/03/2026,"UPI-BLINKIT GROCERIES",3599,expense
10/03/2026,"UPI-COIN BY ZERODHA",40000,investment
10/03/2026,"POS-DOMINOS PIZZA",1104,expense
11/03/2026,"POS-IRCTC TICKET BOOKING",1052,expense
12/03/2026,"UPI-RAMESH KIRANA STORE",47,expense
13/03/2026,"UPI-LOCAL DAIRY SHOP",68,expense
13/03/2026,"UPI-GUITAR CLASSES",1274,expense
14/03/2026,"POS-MCDONALDS",1858,expense
15/03/2026,"AUTO DEBIT-LIC PREMIUM",3000,expense
15/03/2026,"POS-DMART RETAIL",3901,expense
20/03/2026,"UPI-UDEMY ONLINE COURSE",5000,expense
22/03/2026,"POS-DMART RETAIL",2385,expense
24/03/2026,"UPI-RAMESH KIRANA STORE",118,expense
25/03/2026,"ATM WDL-1234 SBI-NEW DELHI",218,expense
27/03/2026,"UPI-NEW CAR DOWNPAYMENT SAVINGS",3495,investment
28/03/2026,"UPI-ZOMATO FOOD",1584,expense
28/03/2026,"DR-SMS ALERT CHARGES",111,expense
29/03/2026,"POS-RELIANCE FRESH",3216,expense
29/03/2026,"UPI-LOCAL DAIRY SHOP",94,expense
29/03/2026,"UPI-FLIPKART INTERNET",3235,expense
29/03/2026,"POS-PVR CINEMAS MULTIPLEX",1499,expense
30/03/2026,"UPI-OLA CABS",1109,expense
31/03/2026,"UPI-CAFE COFFEE DAY",1281,expense
01/04/2026,"NEFT CR-SALARY-EMPLOYER",150000,income
01/04/2026,"ATM WDL-1234 SBI-NEW DELHI",186,expense
