Date,Description,Amount,Type
04/11/2025,"UPI-CHAI WALA STALL",198,expense
05/11/2025,"CREDIT CARD BILL PAYMENT-SBI",15000,expense
05/11/2025,"UPI-BOOKMYSHOW TICKETS",1183,expense
06/11/2025,"UPI-RAMESH KIRANA STORE",124,expense
07/11/2025,"UPI-AIRTEL POSTPAID",2333,expense
07/11/2025,"UPI-JIO FIBER BROADBAND",999,expense
07/11/2025,"UPI-GOLF CLUB FEE",2116,expense
08/11/2025,"UPI-STREET FOOD VENDOR",155,expense
08/11/2025,"UPI-FASTAG TOLL RECHARGE",240,expense
09/11/2025,"UPI-BLINKIT GROCERIES",1629,expense
10/11/2025,"UPI-LOCAL DAIRY SHOP",80,expense
12/11/2025,"POS-ZARA APPARELS",1788,expense
12/11/2025,"POS-BPCL PETROL PUMP",205,expense
15/11/2025,"UPI-PAN SHOP TUCK",51,expense
16/11/2025,"UPI-BLINKIT GROCERIES",1386,expense
16/11/2025,"UPI-STREET FOOD VENDOR",43,expense
16/11/2025,"UPI-FASTAG TOLL RECHARGE",177,expense
16/11/2025,"UPI-GOLF CLUB FEE",970,expense
17/11/2025,"UPI-STREET FOOD VENDOR",26,expense
18/11/2025,"UPI-GOLF CLUB FEE",1809,expense
19/11/2025,"UPI-LOCAL DAIRY SHOP",166,expense
19/11/2025,"POS-DOMINOS PIZZA",516,expense
20/11/2025,"UPI-RAMESH KIRANA STORE",189,expense
20/11/2025,"POS-DOMINOS PIZZA",566,expense
20/11/2025,"UPI-AMAZON SELLER SERVICES",1535,expense
22/11/2025,"UPI-AUTO RICKSHAW FARE",61,expense
23/11/2025,"POS-DMART RETAIL",1538,expense
24/11/2025,"POS-IRCTC TICKET BOOKING",340,expense
27/11/2025,"UPI-SWIGGY TECHNOLOGIES",326,expense
28/11/2025,"UPI-RAMESH KIRANA STORE",27,expense
30/11/2025,"POS-RELIANCE FRESH",1661,expense
30/11/2025,"UPI-STREET FOOD VENDOR",42,expense
30/11/2025,"UPI-GUITAR CLASSES",2400,expense
01/12/2025,"NEFT CR-SALARY-EMPLOYER",50000,income
03/12/2025,"IMPS-RENT PAYMENT TO OWNER",18000,expense
03/12/2025,"UPI-FLIPKART INTERNET",1165,expense
03/12/2025,"POS-APOLLO PHARMACY",1301,expense
04/12/2025,"ATM WDL-1234 SBI-NEW DELHI",209,expense
04/12/2025,"POS-APOLLO PHARMACY",724,expense
05/12/2025,"PERSONAL LOAN EMI-BAJAJ",15000,expense
05/12/2025,"UPI-STREET FOOD VENDOR",110,expense
06/12/2025,"UPI-STREET FOOD VENDOR",224,expense
07/12/2025,"UPI-JIO FIBER BROADBAND",1600,expense
07/12/2025,"UPI-JIO FIBER BROADBAND",999,expense
07/12/2025,"POS-RELIANCE FRESH",1293,expense
07/12/2025,"UPI-NETFLIX SUBSCRIPTION",843,expense
09/12/2025,"ATM WDL-1234 SBI-NEW DELHI",75,expense
09/12/2025,"UPI-AMAZON SELLER SERVICES",1858,expense
09/12/2025,"POS-BPCL PETROL PUMP",165,expense
09/12/2025,"UPI-SPOTIFY PREMIUM",709,expense
10/12/2025,"UPI-CHAI WALA STALL",163,expense
11/12/2025,"UPI-PAN SHOP TUCK",245,expense
11/12/2025,"UPI-FLIPKART INTERNET",1598,expense
11/12/2025,"UPI-GUITAR CLASSES",1536,expense
13/12/2025,"ATM WDL-1234 SBI-NEW DELHI",82,expense
13/12/2025,"POS-MCDONALDS",432,expense
13/12/2025,"POS-PVR CINEMAS MULTIPLEX",996,expense
14/12/2025,"POS-RELIANCE FRESH",1473,expense
16/12/2025,"UPI-CHAI WALA STALL",64,expense
16/12/2025,"POS-IOCL FUEL STATION",322,expense
17/12/2025,"POS-ART SUPPLIES STATIONERY",691,expense
20/12/2025,"UPI-PAN SHOP TUCK",71,expense
20/12/2025,"POS-ZARA APPARELS",1018,expense
21/12/2025,"POS-DMART RETAIL",1306,expense
21/12/2025,"UPI-LOCAL DAIRY SHOP",134,expense
22/12/2025,"UPI-PAN SHOP TUCK",137,expense
22/12/2025,"UPI-SWIGGY TECHNOLOGIES",541,expense
23/12/2025,"UPI-FASTAG TOLL RECHARGE",157,expense
23/12/2025,"POS-DECATHLON SPORTS GEAR",555,expense
25/12/2025,"UPI-CHAI WALA STALL",212,expense
25/12/2025,"UPI-ZOMATO FOOD",356,expense
26/12/2025,"UPI-AUTO RICKSHAW FARE",197,expense
26/12/2025,"POS-BPCL PETROL PUMP",241,expense
26/12/2025,"UPI-SPOTIFY PREMIUM",1188,expense
27/12/2025,"UPI-RAMESH KIRANA STORE",245,expense
27/12/2025,"UPI-1MG ONLINE MEDS",1241,expense
28/12/2025,"UPI-BIGBASKET",1385,expense
29/12/2025,"POS-CROMA ELECTRONICS",1464,expense
30/12/2025,"UPI-AMAZON SELLER SERVICES",1653,expense
31/12/2025,"UPI-LOCAL DAIRY SHOP",36,expense
31/12/2025,"UPI-BOOKMYSHOW TICKETS",1164,expense
01/01/2026,"NEFT CR-SALARY-EMPLOYER",50000,income
01/01/2026,"UPI-STREET FOOD VENDOR",51,expense
01/01/2026,"UPI-GUITAR CLASSES",2486,expense
02/01/2026,"UPI-AUTO RICKSHAW FARE",105,expense
03/01/2026,"IMPS-RENT PAYMENT TO OWNER",18000,expense
04/01/2026,"POS-RELIANCE FRESH",1334,expense
04/01/2026,"POS-INDIGO AIRLINES",250,expense
05/01/2026,"CREDIT CARD BILL PAYMENT-SBI",15000,expense
05/01/2026,"UPI-STREET FOOD VENDOR",94,expense
05/01/2026,"POS-CITY HOSPITAL",655,expense
06/01/2026,"UPI-RAMESH KIRANA STORE",46,expense
06/01/2026,"POS-IRCTC TICKET BOOKING",342,expense
06/01/2026,"UPI-GUITAR CLASSES",1038,expense
06/01/2026,"UPI-PRACTO CONSULTATION",788,expense
07/01/2026,"UPI-WATER BILL PAYMENT",2291,expense
07/01/2026,"UPI-JIO FIBER BROADBAND",999,expense
08/01/2026,"UPI-LOCAL DAIRY SHOP",61,expense
09/01/2026,"UPI-CHAI WALA STALL",121,expense
09/01/2026,"POS-ART SUPPLIES STATIONERY",1753,expense
10/01/2026,"UPI-BARBEQUE NATION",682,expense
11/01/2026,"UPI-BLINKIT GROCERIES",1905,expense
11/01/2026,"UPI-PAN SHOP TUCK",61,expense
11/01/2026,"UPI-SWIGGY TECHNOLOGIES",315,expense
11/01/2026,"UPI-FLIPKART INTERNET",1999,expense
12/01/2026,"UPI-CHAI WALA STALL",189,expense
12/01/2026,"UPI-NCMC METRO RECHARGE",314,expense
13/01/2026,"UPI-CHAI WALA STALL",143,expense
13/01/2026,"UPI-UBER RIDE",244,expense
14/01/2026,"ATM WDL-1234 SBI-NEW DELHI",248,expense
15/01/2026,"UPI-PAN SHOP TUCK",229,expense
15/01/2026,"UPI-NETFLIX SUBSCRIPTION",1235,expense
16/01/2026,"POS-LIFESTYLE STORES",1638,expense
17/01/2026,"UPI-AMAZON SELLER SERVICES",1825,expense
18/01/2026,"POS-DMART RETAIL",1411,expense
18/01/2026,"POS-IRCTC TICKET BOOKING",199,expense
18/01/2026,"POS-PVR CINEMAS MULTIPLEX",568,expense
20/01/2026,"POS-LIFESTYLE STORES",1419,expense
21/01/2026,"ATM WDL-1234 SBI-NEW DELHI",229,expense
23/01/2026,"POS-ZARA APPARELS",1276,expense
25/01/2026,"POS-RELIANCE FRESH",1021,expense
25/01/2026,"UPI-PAN SHOP TUCK",211,expense
25/01/2026,"UPI-ZOMATO FOOD",497,expense
25/01/2026,"POS-PVR CINEMAS MULTIPLEX",1050,expense
28/01/2026,"POS-INDIGO AIRLINES",298,expense
28/01/2026,"DR-ANNUAL DEBIT CARD FEE",88,expense
29/01/2026,"UPI-CAFE COFFEE DAY",327,expense
29/01/2026,"POS-APOLLO PHARMACY",761,expense
01/02/2026,"NEFT CR-SALARY-EMPLOYER",50000,income
01/02/2026,"UPI-BIGBASKET",1722,expense
01/02/2026,"UPI-RAMESH KIRANA STORE",110,expense
02/02/2026,"UPI-RAMESH KIRANA STORE",235,expense
02/02/2026,"POS-BPCL PETROL PUMP",297,expense
03/02/2026,"UPI-LANDLORD MONTHLY RENT",18000,expense
04/02/2026,"POS-INDIGO AIRLINES",172,expense
05/02/2026,"PERSONAL LOAN EMI-BAJAJ",15000,expense
05/02/2026,"ATM WDL-1234 SBI-NEW DELHI",93,expense
05/02/2026,"UPI-FASTAG TOLL RECHARGE",157,expense
06/02/2026,"POS-BPCL PETROL PUMP",276,expense
06/02/2026,"UPI-POTTERY WORKSHOP",647,expense
07/02/2026,"UPI-AIRTEL POSTPAID",2095,expense
07/02/2026,"UPI-JIO FIBER BROADBAND",999,expense
07/02/2026,"UPI-BARBEQUE NATION",520,expense
08/02/2026,"UPI-ZEPTO MINTS",1879,expense
09/02/2026,"UPI-RAMESH KIRANA STORE",221,expense
11/02/2026,"POS-DOMINOS PIZZA",459,expense
11/02/2026,"POS-BPCL PETROL PUMP",296,expense
12/02/2026,"ATM WDL-1234 SBI-NEW DELHI",195,expense
12/02/2026,"UPI-BOOKMYSHOW TICKETS",1425,expense
13/02/2026,"POS-DOMINOS PIZZA",407,expense
13/02/2026,"POS-ZARA APPARELS",1214,expense
15/02/2026,"UPI-BLINKIT GROCERIES",1407,expense
15/02/2026,"UPI-ZOMATO FOOD",695,expense
15/02/2026,"POS-IRCTC TICKET BOOKING",304,expense
16/02/2026,"UPI-BARBEQUE NATION",672,expense
16/02/2026,"UPI-GOLF CLUB FEE",1431,expense
17/02/2026,"UPI-GUITAR CLASSES",1813,expense
18/02/2026,"UPI-AUTO RICKSHAW FARE",223,expense
19/02/2026,"ATM WDL-1234 SBI-NEW DELHI",50,expense
20/02/2026,"UPI-UBER RIDE",302,expense
21/02/2026,"UPI-LOCAL DAIRY SHOP",215,expense
22/02/2026,"UPI-BIGBASKET",1856,expense
22/02/2026,"UPI-RAMESH KIRANA STORE",90,expense
22/02/2026,"UPI-BARBEQUE NATION",383,expense
22/02/2026,"UPI-AMAZON SELLER SERVICES",1614,expense
23/02/2026,"POS-PVR CINEMAS MULTIPLEX",1402,expense
24/02/2026,"UPI-FASTAG TOLL RECHARGE",230,expense
25/02/2026,"ATM WDL-1234 SBI-NEW DELHI",47,expense
01/03/2026,"NEFT CR-SALARY-EMPLOYER",50000,income
01/03/2026,"UPI-ZEPTO MINTS",1321,expense
01/03/2026,"UPI-AUTO RICKSHAW FARE",39,expense
01/03/2026,"UPI-AMAZON SELLER SERVICES",1157,expense
02/03/2026,"ATM WDL-1234 SBI-NEW DELHI",137,expense
02/03/2026,"UPI-STEAM GAMING",599,expense
03/03/2026,"UPI-LANDLORD MONTHLY RENT",18000,expense
03/03/2026,"UPI-STREET FOOD VENDOR",102,expense
04/03/2026,"UPI-CHAI WALA STALL",62,expense
04/03/2026,"UPI-CAFE COFFEE DAY",682,expense
05/03/2026,"AUTO DEBIT-CAR LOAN-ICICI",15000,expense
05/03/2026,"UPI-LOCAL DAIRY SHOP",37,expense
05/03/2026,"POS-BPCL PETROL PUMP",227,expense
06/03/2026,"UPI-CAFE COFFEE DAY",669,expense
07/03/2026,"UPI-WATER BILL PAYMENT",2060,expense
07/03/2026,"UPI-JIO FIBER BROADBAND",999,expense
08/03/2026,"UPI-ZEPTO MINTS",1806,expense
08/03/2026,"UPI-RAMESH KIRANA STORE",106,expense
09/03/2026,"ATM WDL-1234 SBI-NEW DELHI",45,expense
09/03/2026,"POS-BPCL PETROL PUMP",209,expense
10/03/2026,"POS-DOMINOS PIZZA",674,expense
11/03/2026,"POS-IRCTC TICKET BOOKING",260,expense
12/03/2026,"UPI-RAMESH KIRANA STORE",205,expense
13/03/2026,"POS-ZARA APPARELS",1411,expense
14/03/2026,"UPI-FLIPKART INTERNET",1338,expense
15/03/2026,"POS-DMART RETAIL",1181,expense
15/03/2026,"POS-DOMINOS PIZZA",326,expense
16/03/2026,"UPI-UBER RIDE",167,expense
16/03/2026,"UPI-BOOKMYSHOW TICKETS",873,expense
18/03/2026,"UPI-AUTO RICKSHAW FARE",128,expense
19/03/2026,"POS-DOMINOS PIZZA",466,expense
20/03/2026,"UPI-RAMESH KIRANA STORE",103,expense
20/03/2026,"UPI-CAFE COFFEE DAY",641,expense
21/03/2026,"UPI-RAMESH KIRANA STORE",226,expense
21/03/2026,"UPI-UBER RIDE",313,expense
22/03/2026,"POS-RELIANCE FRESH",1324,expense
22/03/2026,"POS-DOMINOS PIZZA",587,expense
23/03/2026,"UPI-AMAZON SELLER SERVICES",1089,expense
24/03/2026,"UPI-PAN SHOP TUCK",64,expense
25/03/2026,"UPI-LOCAL DAIRY SHOP",52,expense
25/03/2026,"UPI-AMAZON SELLER SERVICES",1158,expense
26/03/2026,"UPI-PAN SHOP TUCK",167,expense
28/03/2026,"UPI-RAMESH KIRANA STORE",230,expense
28/03/2026,"UPI-GOLF CLUB FEE",2214,expense
29/03/2026,"UPI-ZEPTO MINTS",1274,expense
29/03/2026,"UPI-ZOMATO FOOD",629,expense
29/03/2026,"UPI-MYNTRA DESIGNS",1275,expense
29/03/2026,"POS-ART SUPPLIES STATIONERY",1144,expense
31/03/2026,"UPI-ZOMATO FOOD",522,expense
31/03/2026,"UPI-POTTERY WORKSHOP",941,expense
01/04/2026,"NEFT CR-SALARY-EMPLOYER",50000,income
01/04/2026,"UPI-AUTO RICKSHAW FARE",130,expense
01/04/2026,"POS-IOCL FUEL STATION",157,expense
01/04/2026,"POS-PVR CINEMAS MULTIPLEX",1491,expense
01/04/2026,"POS-DECATHLON SPORTS GEAR",815,expense
